en	hi	pos
a	एक	Det
aback	पीछे; हतप्रभ	Adv
abacus	गिनतारा	N
abandon	छोड़देना	V
abandoned	छोड़ाहुआ	Adj
abandonment	परित्याग	N
abase	अवमानितकरना	V
abashed	लज्जित	Adj
abate	कमहोना	V
abatement	कमी	N
abattoir	वधशाला	N
abbess	मठाध्यक्षा	N
abbey	ईसाइयोकामठ	N
abbot	मठाध्यक्ष	N
abbreviate	संक्षिप्तकरना	VT
abbreviation	संक्षिप्ति	N
abdicate	स्वेच्छासेछोड़ना	V
abdication	पदत्याग	N
abdomen	पेट	N
abdominal	उदरसम्बन्धी	Adj
abduct	अपहरणकरना	V
abduction	अपहरण	N
aberrant	असामान्य	Adj
aberration	विकार	N
abet	उकसाना{बुरेकामकेलिये}	VT
abeyance	क्षणिकविराम	N
abhor	घृणाकरना	VT
abhorrence	घृणा	N
abhorrent	घृणित	Adj
abide	सहनकरना; एकजगहरहना	V
ability	योग्यता	N
abject	अति; बहुतज्यादा	Adj
abjure	शपथत्यागकरना	V
ablaze	जलाहुआ	Adj
able	समर्थ; चतुर	Adj
ablutions	प्रक्षालन	N
abnormal	असामान्य	Adj
aboard	सवार	Adv
aboard	परसवार	Prep
abode	आवास	N
abolish	उन्मूलनकरना[होना]	VT
abolition	उन्मूलन	N
abominable	घृणित	Adj
abomination	घृणा	N
aboriginal	आदिम	Adj
aborigine	प्राचीनदेशवासी	N
abort	गर्भपातहोना; छोड़देना{अधूरा}	VI
abortion	गर्भपात	N
abortionist	गर्भपातकरवानेवाला	N
abortive	निष्फल	Adj
abound	बहुतायातसेहोना	V
about	चारोओर; इधरउधर; लगभग; बहुतहोगया	Adv
about	केबारेमें; आसपास	Prep
about-turn	पलटना	N
above	ऊँचा	Adv
above	ऊपर	Prep
above	ऊपरका	Adj
abracadabra	जादूकामंत्र	N
abrade	घिसना	V
abrasion	रगड़	N
abrasive	चोटपहुँचानेवाला	Adj
abrasive	पीसनेयारगड़नेकीवस्तु	N
