ja	en	pos	common
ヽ		unc	0	repetition mark in katakana
ヾ		unc	0	voiced repetition mark in katakana
ゝ		unc	0	repetition mark in hiragana
ゞ		unc	0	voiced repetition mark in hiragana
〃	おなじ	n	0	ditto mark
仝	どう	unc	0	"as above" mark
々	のま	unc	0	kanji repetition mark
○	まる	n, unc	0	circle; "correct"; "good"; *; _; period; full stop; handakuten (diacritic)
ＡＢＣ順	エービーシーじゅん	n	0	alphabetical order
ＣＤプレーヤー	シーディープレーヤー	n	1	CD player
Ｎ響	エヌきょう	n	0	NHK Symphony Orchestra
Ｏバック	オーバック	n	0	O-back; skirt with peek-a-boo hole in rump
Ｔシャツ	ティーシャツ	n	1	T-shirt; tee shirt
Ｔバック	ティーバック	n	1	T-back; bikini thong
阿吽の呼吸	あうんのこきゅう	exp, n	0	the harmonizing, mentally and physically, of two parties engaged in an activity; singing from the same hymn-sheet; dancing to the same beat
あおば		n	0	(former) regular (stops at every station) Tōhoku-line Shinkansen
明白	めいはく	adj-na	1	obvious; clear; plain; evident; apparent; explicit; overt
明白	あからさま	adj-na, adj-no	0	plain; frank; candid; open; direct; straightforward; unabashed; blatant
明かん	あかん	exp	0	useless; no good; hopeless; cannot; must not; not allowed
悪どい	あくどい	adj-i	0	gaudy; showy; garish; loud; crooked; vicious; wicked; nasty
論う	あげつらう	v5u, vt	0	to discuss; to find fault with; to criticize; to criticise
遇う	あしらう	v5u, vt	0	to treat; to handle; to deal with; to arrange; to decorate (with); to adorn (with); to dress (with); to garnish (with)
馬酔木	あせび	n	0	Japanese andromeda (Pieris japonica); lily-of-the-valley
彼処	あそこ	pn, n	1	there; over there; that place; yonder; you-know-where; genitals; private parts; nether regions
あっさり		adv, adv-to, vs	1	easily; readily; quickly; flatly (refuse); lightly (seasoned food, applied make-up, etc.); plainly; simply
あっという間に	あっというまに	exp, adv	1	in an instant; in a flash; in the blink of an eye; in no time at all; just like that
あっぷあっぷ		adv, adv-to, vs	0	floundering while nearly drowning; suffering
あどけない		adj-i	0	innocent; cherubic; childlike
彼の	あの	adj-pn	1	that; those; the
あの		int	1	say; well; um; er
あの人	あのひと	pn	1	he; she; that person; you
あの方	あのかた	pn	1	that gentleman; that lady; he; she
溢れる	あぶれる	v1, vi	0	to fail (in getting a job); to miss out (at fishing, hunting, etc.); to be left out; to be crowded out
あべこべ		adj-no, adj-na, n	1	contrary; opposite; inverse; reverse; back-to-front
阿呆陀羅	あほんだら	n	0	fool; oaf; airhead; mock Buddhist sutra; type of fast-paced humorous singing mimicking the chanting of a Buddhist sutra, usually with lyrics satirizing current events
甘子	あまご	n	0	land-locked variety of red-spotted masu trout (Oncorhynchus masou ishikawae); amago
あやす		v5s, vt	0	to cuddle; to comfort; to rock; to soothe; to dandle; to humor; to humour; to lull
あやふや		adj-na	1	uncertain; indefinite; vague; ambiguous; equivocal; dubious; doubtful; non-committal
あら		int	1	oh!; ah!; oh no
𩺊	あら	n	0	saw-edged perch (Niphon spinosus)
彼	あれ	pn, n	1	that; that thing; that person; then; that time; that place (over there); down there (i.e. one's genitals); period
あんな		adj-pn	1	that sort of; that kind of; like that; such; so
いい加減にしなさい	いいかげんにしなさい	exp	0	shape up!; act properly!
いい年をして	いいとしをして	exp	0	(in spite of) being old enough to know better
否々	いやいや	int	1	no!; no no!; no, not at all
如何わしい	いかがわしい	adj-i	0	suspicious; dubious; unreliable; indecent; unseemly
いかす		v5s, vi	0	to be smart; to be cool; to be sharp; to be stylish
いかなる場合でも	いかなるばあいでも	exp	0	in any case; whatever the case may be
如何にも	いかにも	adv, int	1	indeed; really; truly; just (like); very; extremely; totally; terribly
幾つも	いくつも	adv, adj-no	0	many; much; plenty; hardly
行けない	いけない	exp, adj-i	1	bad; wrong; naughty; must not (do, be); should not; ought not to; useless; no good
いごっそう		n	0	stubborn person; strong-minded person; obstinate person
いざ		adv, int	0	now; come (now); well
いざこざ		n	1	trouble; quarrel; difficulties; complication; tangle
イジイジ		adv, adv-to, vs	0	hesitantly; timidly; diffidently
いじける		v1, vi	0	to grow timid; to cower; to shrink; to lose one's nerve; to become perverse; to become contrary; to become warped; to become withdrawn
いじましい		adj-i	0	stingy; petty; pathetic; lovable; sweet; charming; touching
可憐しい	いじらしい	adj-i	0	lovable; sweet; charming; pitiful; pathetic; touching
いじり回す	いじりまわす	v5s, vt	0	to tinker with; to fumble with; to fiddle with; to twiddle
いそいそ		adv-to, adv, vs	1	cheerfully; joyously; joyfully; happily; lightheartedly; excitedly; eagerly
