一	one; one radical (no.1)	いち・いつ	ひと-・ひと.つ	N5	1	1
七	seven	しち	なな・なな.つ・なの	N5	1	2
九	nine	きゅう・く	ここの・ここの.つ	N5	1	2
二	two; two radical (no. 7)	に・じ	ふた・ふた.つ・ふたたび	N5	1	2
人	person	じん・にん	ひと・-り・-と	N5	1	2
入	enter; insert	にゅう・じゅ	い.る・-い.る・-い.り・い.れる・-い.れ・はい.る	N5	1	2
八	eight; eight radical (no. 12)	はち	や・や.つ・やっ.つ・よう	N5	1	2
力	power; strength; strong; strain	りょく・りき・りい	ちから	N4	1	2
十	ten	じゅう・じっ・じゅっ	とお・と	N5	1	2
三	three	さん・ぞう	み・み.つ・みっ.つ	N5	1	3
上	above; up	じょう・しょう・しゃん	うえ・-うえ・うわ-・かみ・あ.げる・-あ.げる・あ.がる・-あ.がる・あ.がり・-あ.がり・のぼ.る・のぼ.り・のぼ.せる・のぼ.す・たてまつ.る	N5	1	3
下	below; down; descend; give	か・げ	した・しも・もと・さ.げる・さ.がる・くだ.る・くだ.り・くだ.す・-くだ.す・くだ.さる・お.ろす・お.りる	N5	1	3
千	thousand	せん	ち	N5	1	3
口	mouth	こう・く	くち	N4	1	3
土	soil; earth; ground; turkey	ど・と	つち	N5	1	3
夕	evening	せき	ゆう	N4	1	3
大	large; big	だい・たい	おお-・おお.きい・-おお.いに	N5	1	3
女	woman; female	じょ・にょ・にょう	おんな・め	N5	1	3
子	child; sign of the rat; 11pm-1am; first sign of chinese zodiac	し・す・つ	こ・-こ・ね	N5	1	3
小	little; small	しょう	ちい.さい・こ-・お-・さ-	N5	1	3
山	mountain	さん・せん	やま	N5	1	3
川	stream; river; river or three-stroke river radical (no. 47)	せん	かわ	N5	1	3
中	in; inside; middle; mean	ちゅう	なか・うち・あた.る	N5	1	4
五	five	ご	いつ・いつ.つ	N5	1	4
六	six	ろく・りく	む・む.つ・むっ.つ・むい	N5	1	4
円	circle; yen; round	えん	まる.い・まる・まど・まど.か・まろ.やか	N5	1	4
天	heavens; sky; imperial	てん	あまつ・あめ・あま-	N5	1	4
手	hand	しゅ・ず	て・て-・-て・た-	N4	1	4
文	sentence; literature; style; art	ぶん・もん	ふみ・あや	N4	1	4
日	day; sun; japan; counter for days	にち・じつ	ひ・-び・-か	N5	1	4
月	month; moon	げつ・がつ	つき	N5	1	4
木	tree; wood	ぼく・もく	き・こ-	N5	1	4
水	water	すい	みず・みず-	N5	1	4
火	fire	か	ひ・-び・ほ-	N5	1	4
犬	dog	けん	いぬ・いぬ-	N4	1	4
王	king; rule; magnate	おう・-のう		N3	1	4
出	exit; leave; go out; come out	しゅつ・すい	で.る・-で・だ.す・-だ.す・い.でる・い.だす	N5	1	5
右	right	う・ゆう	みぎ	N5	1	5
四	four	し	よ・よ.つ・よっ.つ・よん	N5	1	5
左	left	さ・しゃ	ひだり	N5	1	5
本	book; present; main; origin	ほん	もと	N5	1	5
正	correct; justice; righteous; 10**40	せい・しょう	ただ.しい・ただ.す・まさ・まさ.に	N4	1	5
玉	jewel; ball	ぎょく	たま・たま-・-だま	N2	1	5
生	life; genuine; birth	せい・しょう	い.きる・い.かす・い.ける・う.まれる・うま.れる・う.まれ・うまれ・う.む・お.う・は.える・は.やす・き・なま・なま-・な.る・な.す・む.す・-う	N5	1	5
田	rice field; rice paddy	でん	た	N4	1	5
白	white	はく・びゃく	しろ・しら-・しろ.い	N5	1	5
目	eye; class; look; insight	もく・ぼく	め・-め・ま-	N4	1	5
石	stone	せき・しゃく・こく	いし	N3	1	5
立	stand up; rise; set up; erect	りつ・りゅう・りっとる	た.つ・-た.つ・た.ち-・た.てる・-た.てる・た.て-・たて-・-た.て・-だ.て・-だ.てる	N4	1	5
休	rest; day off; retire; sleep	きゅう	やす.む・やす.まる・やす.める	N5	1	6
先	before; ahead; previous; future	せん	さき・ま.ず	N5	1	6
名	name; noted; distinguished; reputation	めい・みょう	な・-な	N5	1	6
字	character; letter; word; section of village	じ	あざ・あざな・-な	N4	1	6
年	year; counter for years	ねん	とし	N5	1	6
